[13:10:03 INF] Starting web host
[13:10:05 INF] ### App Version:1.0.0.0 ###
[13:10:07 INF] ### PIdP Configuration:{"ApplicationUrl":"http://localhost:4200","AddressAutocompleteClient":{"ApiKey":"\u003Credacted\u003E","Url":"https://ws1.postescanada-canadapost.ca/AddressComplete/Interactive/"},"ConnectionStrings":{"PidpDatabase":"Host=fedora;Port=5444;Database=pipd;Username=postgres;Password=Pa55w0rd"},"ChesClient":{"Enabled":true,"Url":"https://ches-dev.apps.silver.devops.gov.bc.ca/api/v1","ClientId":"PSP_SERVICE_CLIENT","ClientSecret":"\u003Credacted\u003E","TokenUrl":"https://dev.oidc.gov.bc.ca/auth/realms/jbd6rnxw/protocol/openid-connect/token"},"KafkaCluster":{"Url":"","ClientId":"","ClientSecret":"","BoostrapServers":"pidp-kafka-cluster-5b7aa5-test.apps.silver.devops.gov.bc.ca:443","SecurityProtocol":"","SaslMechanism":"","ConsumerTopicName":"dems-notification-ack","ProducerTopicName":"dems-access-request","SaslOauthbearerTokenEndpointUrl":"https://pidp-sso-e27db1-test.apps.gold.devops.gov.bc.ca/auth/realms/DEMSTEST/protocol/openid-connect/token","SaslOauthbearerProducerClientId":"kafka-producer","SaslOauthbearerProducerClientSecret":"AwtHq6XXnoLZKcMdtXDohpIhfTHsMGe2","SaslOauthbearerConsumerClientId":"kafka-consumer","SaslOauthbearerConsumerClientSecret":"vwwQ3erVkBzVX3i1P6le5DiEYhUd6kDh","SslCaLocation":"C:\\certs\\pidp\\ca.crt","SslCertificateLocation":"C:\\certs\\pidp\\client\\ca.crt","SslKeyLocation":"C:\\certs\\pidp\\client\\ca.key"},"Keycloak":{"RealmUrl":"https://pidp-sso-e27db1-test.apps.gold.devops.gov.bc.ca/auth/realms/DEMSTEST","WellKnownConfig":"https://pidp-sso-e27db1-test.apps.gold.devops.gov.bc.ca/auth/realms/DEMSTEST/.well-known/openid-configuration","TokenUrl":"https://pidp-sso-e27db1-test.apps.gold.devops.gov.bc.ca/auth/realms/DEMSTEST/protocol/openid-connect/token","AdministrationUrl":"https://pidp-sso-e27db1-test.apps.gold.devops.gov.bc.ca/auth/admin/realms/DEMSTEST","AdministrationClientId":"PIDP-SERVICE","AdministrationClientSecret":"3s8dwnqNHyDdtG1ZhhERgqXFK4WY7cyO","HcimClientId":"HCIMWEB"},"LdapClient":{"Url":"https://common-logon-dev.hlth.gov.bc.ca/"},"MailServer":{"Url":"localhost","Port":1025},"PlrClient":{"Url":"http://localhost:5060/api"},"JumClient":{"Url":"https://localhost:7215/api","RealmUrl":"","TokenUrl":"protocol/openid-connect/token","AdministrationUrl":"","AdministrationClientId":"","AdministrationClientSecret":""}} ###
[13:10:10 INF] Now listening on: https://localhost:5051
[13:10:10 INF] Now listening on: http://localhost:5050
[13:10:10 INF] Application started. Press Ctrl+C to shut down.
[13:10:10 INF] Hosting environment: Development
[13:10:10 INF] Content root path: C:\Development\jps-pidp\backend\webapi
[13:10:23 WRN] Applying IncludeRules for type 'Pidp.Features.Parties.Create+Command' fails.
System.Reflection.TargetInvocationException: Exception has been thrown by the target of an invocation.
 ---> System.Reflection.TargetInvocationException: Exception has been thrown by the target of an invocation.
 ---> System.NotImplementedException: Given Identity Provider is not supported
   at Pidp.Features.Parties.Create.CommandValidator.<>c__DisplayClass0_0.<.ctor>b__3(Command x) in C:\Development\jps-pidp\backend\webapi\Features\Parties\Create.cs:line 41
   at FluentValidation.Internal.IncludeRule`1.<>c__DisplayClass3_0`1.<Create>b__0(ValidationContext`1 ctx, T _) in /media/jskinner/Linux2/code/FluentValidation/src/FluentValidation/Internal/IncludeRule.cs:line 54
   --- End of inner exception stack trace ---
   at System.RuntimeMethodHandle.InvokeMethod(Object target, Span`1& arguments, Signature sig, Boolean constructor, Boolean wrapExceptions)
   at System.Reflection.RuntimeMethodInfo.Invoke(Object obj, BindingFlags invokeAttr, Binder binder, Object[] parameters, CultureInfo culture)
   at MicroElements.Swashbuckle.FluentValidation.FluentValidationSchemaBuilder.GetValidatorGeneric[T](IChildValidatorAdaptor childValidatorAdapter) in /home/runner/work/MicroElements.Swashbuckle.FluentValidation/MicroElements.Swashbuckle.FluentValidation/src/MicroElements.Swashbuckle.FluentValidation/FluentValidationSchemaBuilder.cs:line 202
   --- End of inner exception stack trace ---
   at System.RuntimeMethodHandle.InvokeMethod(Object target, Span`1& arguments, Signature sig, Boolean constructor, Boolean wrapExceptions)
   at System.Reflection.RuntimeMethodInfo.Invoke(Object obj, BindingFlags invokeAttr, Binder binder, Object[] parameters, CultureInfo culture)
   at MicroElements.Swashbuckle.FluentValidation.FluentValidationSchemaBuilder.GetValidatorFromChildValidatorAdapter(IChildValidatorAdaptor childValidatorAdapter) in /home/runner/work/MicroElements.Swashbuckle.FluentValidation/MicroElements.Swashbuckle.FluentValidation/src/MicroElements.Swashbuckle.FluentValidation/FluentValidationSchemaBuilder.cs:line 183
   at MicroElements.Swashbuckle.FluentValidation.FluentValidationSchemaBuilder.AddRulesFromIncludedValidators(IValidator validator, ILogger logger, SchemaGenerationContext schemaGenerationContext) in /home/runner/work/MicroElements.Swashbuckle.FluentValidation/MicroElements.Swashbuckle.FluentValidation/src/MicroElements.Swashbuckle.FluentValidation/FluentValidationSchemaBuilder.cs:line 120
   at MicroElements.Swashbuckle.FluentValidation.FluentValidationRules.Apply(OpenApiSchema schema, SchemaFilterContext context) in /home/runner/work/MicroElements.Swashbuckle.FluentValidation/MicroElements.Swashbuckle.FluentValidation/src/MicroElements.Swashbuckle.FluentValidation/Swashbuckle/FluentValidationRules.cs:line 116
[13:10:30 INF] HTTP GET /api/lookups responded 200 in 6557.7234 ms
[13:10:30 INF] HTTP GET /api/lookups responded 200 in 6557.7355 ms
[13:10:57 INF] HTTP GET /api/lookups responded 200 in 176.7788 ms
[13:10:57 INF] HTTP GET /api/lookups responded 200 in 40.3443 ms
[13:11:03 INF] HTTP GET /api/lookups responded 200 in 264.7973 ms
[13:11:03 INF] HTTP GET /api/lookups responded 200 in 45.9402 ms
[13:11:04 INF] HTTP GET /api/parties responded 200 in 864.4924 ms
[13:11:05 WRN] Compiling a query which loads related collections for more than one collection navigation, either via 'Include' or through projection, but no 'QuerySplittingBehavior' has been configured. By default, Entity Framework will use 'QuerySplittingBehavior.SingleQuery', which can potentially result in slow query performance. See https://go.microsoft.com/fwlink/?linkid=2134277 for more information. To identify the query that's triggering this warning call 'ConfigureWarnings(w => w.Throw(RelationalEventId.MultipleCollectionIncludeWarning))'.
[13:11:07 INF] HTTP POST /api/parties/1012/profile-status responded 200 in 2489.6798 ms
[13:11:10 INF] HTTP GET /api/parties/1012/organization-details responded 200 in 125.7687 ms
[13:11:16 INF] ### AuthorizePartyBeforeHandleAsync
[13:11:17 INF] HTTP PUT /api/parties/1012/organization-details responded 204 in 582.3028 ms
[13:11:17 INF] HTTP POST /api/parties/1012/profile-status responded 200 in 88.7935 ms
[13:11:20 INF] HTTP POST /api/parties/1012/profile-status responded 200 in 91.0694 ms
[13:11:20 INF] HTTP GET /api/parties/1012/user-type responded 200 in 58.4321 ms
[13:16:38 INF] HTTP GET /api/lookups responded 200 in 454.1560 ms
[13:16:39 INF] HTTP GET /api/lookups responded 200 in 135.9211 ms
[13:16:40 INF] HTTP GET /api/parties responded 200 in 15.9076 ms
[13:16:40 INF] HTTP POST /api/parties/1012/profile-status responded 200 in 339.3726 ms
[13:16:40 INF] HTTP GET /api/parties/1012/user-type responded 200 in 24.0646 ms
[13:17:36 INF] HTTP GET /api/lookups responded 200 in 284.6420 ms
[13:17:37 INF] HTTP GET /api/lookups responded 200 in 96.3231 ms
[13:17:38 INF] HTTP GET /api/parties responded 200 in 544.1209 ms
[13:17:39 INF] HTTP POST /api/parties/1012/profile-status responded 200 in 120.4748 ms
[13:17:39 INF] HTTP GET /api/parties/1012/user-type responded 200 in 86.1409 ms
[13:17:51 INF] HTTP GET /api/lookups responded 200 in 70.8883 ms
[13:17:53 INF] HTTP GET /api/lookups responded 200 in 69.9658 ms
[13:17:53 INF] HTTP GET /api/parties responded 200 in 11.8419 ms
[13:17:53 INF] HTTP POST /api/parties/1012/profile-status responded 200 in 101.1078 ms
[13:17:54 INF] HTTP GET /api/parties/1012/user-type responded 200 in 20.2108 ms
[13:19:26 INF] HTTP GET /api/lookups responded 200 in 58.7074 ms
[13:19:28 INF] HTTP GET /api/lookups responded 200 in 63.3729 ms
[13:19:29 INF] HTTP GET /api/parties responded 200 in 10.6119 ms
[13:19:29 INF] HTTP POST /api/parties/1012/profile-status responded 200 in 210.2636 ms
[13:19:29 INF] HTTP GET /api/parties/1012/user-type responded 200 in 17.7317 ms
[13:19:56 INF] HTTP GET /api/lookups responded 200 in 53.2010 ms
[13:19:59 INF] HTTP GET /api/lookups responded 200 in 62.4945 ms
[13:20:00 INF] HTTP GET /api/parties responded 200 in 28.3222 ms
[13:20:00 INF] HTTP POST /api/parties/1012/profile-status responded 200 in 239.8853 ms
[13:20:01 INF] HTTP GET /api/parties/1012/user-type responded 200 in 41.9400 ms
[13:21:22 INF] HTTP GET /api/lookups responded 200 in 84.1385 ms
[13:21:24 INF] HTTP GET /api/lookups responded 200 in 43.1006 ms
[13:21:24 INF] HTTP GET /api/parties responded 200 in 6.8781 ms
[13:21:24 INF] HTTP POST /api/parties/1012/profile-status responded 200 in 183.0543 ms
[13:21:25 INF] HTTP GET /api/parties/1012/user-type responded 200 in 15.3414 ms
[13:22:14 INF] HTTP GET /api/lookups responded 200 in 77.4172 ms
[13:22:18 INF] HTTP GET /api/lookups responded 200 in 36.4017 ms
[13:22:18 INF] HTTP GET /api/parties responded 200 in 13.1685 ms
[13:22:19 INF] HTTP POST /api/parties/1012/profile-status responded 200 in 277.7821 ms
[13:22:19 INF] HTTP GET /api/parties/1012/user-type responded 200 in 16.1270 ms
[13:22:30 INF] HTTP GET /api/lookups responded 200 in 55.6282 ms
[13:22:31 INF] HTTP GET /api/lookups responded 200 in 35.2454 ms
[13:22:32 INF] HTTP GET /api/parties responded 200 in 6.4600 ms
[13:22:32 INF] HTTP POST /api/parties/1012/profile-status responded 200 in 82.4044 ms
[13:22:32 INF] HTTP GET /api/parties/1012/user-type responded 200 in 19.8252 ms
[13:22:49 INF] HTTP GET /api/lookups responded 200 in 87.0492 ms
[13:22:50 INF] HTTP GET /api/lookups responded 200 in 47.4583 ms
[13:22:56 INF] HTTP GET /api/lookups responded 200 in 46.9103 ms
[13:23:03 INF] HTTP GET /api/lookups responded 200 in 117.9238 ms
